title,slug,date,old_url,bucket,quality_score,word_count,comment_count,categories,tags
Las recetas de cocina y el software libre,las-recetas-de-cocina-y-el-software-libre,2007-05-09,/2007/05/09/las-recetas-de-cocina-y-el-software-libre/,C,1,96,5,Empresa; Floss,
"LibreMeeting 2007 , las conclusiones.",libremeeting-2007-las-conclusiones,2007-05-13,/2007/05/13/libremeeting-2007-las-conclusiones/,C,1,265,,Floss,
Notas de la mesa de Filosofía sobre conocimiento Libre (libremeeting 2007),notas-de-la-mesa-de-filosofia-sobre-conocimiento-libre-libremeeting-2007,2007-05-13,/2007/05/13/notas-de-la-mesa-de-filosofia-sobre-conocimiento-libre-libremeeting-2007/,C,2,999,,Floss,
Medios de Comunicación y Conocimiento Libre (libremeeting 2007),medios-de-comunicacion-y-conocimiento-libre-libremeeting-2007,2007-05-13,/2007/05/13/medios-de-comunicacion-y-conocimiento-libre-libremeeting-2007/,C,1,104,,Floss,
Conferencia Richard Stallman en LibreMeeting 2007,conferencia-richard-stallaman-en-libre-metting-2007,2007-05-13,/2007/05/13/conferencia-richard-stallaman-en-libre-metting-2007/,C,2,543,,Floss,
Dia 2 Libremeeting 2007. Introducción,dia-2-libremeeting-2007-introduccion,2007-05-13,/2007/05/13/dia-2-libremeeting-2007-introduccion/,C,1,111,,Floss,
Izquierda Unida  y el Conocimiento Libre (libremeeting 2007),izquierda-unida-y-el-conocimiento-libre-libremeeting-2007,2007-05-13,/2007/05/13/izquierda-unida-y-el-conocimiento-libre-libremeeting-2007/,C,1,201,,Floss,
"PSOE , software libre y conocimiento libre. (libremeeting 2007)",psoe-software-libre-y-conocimiento-libre-libremeeting-2007,2007-05-13,/2007/05/13/psoe-software-libre-y-conocimiento-libre-libremeeting-2007/,C,1,369,,Floss,
Susan George en la Libremeeting 2007,susan-george-en-la-libremeeting-2007,2007-05-13,/2007/05/13/susan-george-en-la-libremeeting-2007/,C,2,907,2,Floss,
Richard Stallman 2º intervención en Libremeeting 2007,richard-stallaman-2º-intervencion-en-libremeeting-2007,2007-05-13,/2007/05/13/richard-stallaman-2%c2%ba-intervencion-en-libremeeting-2007/,C,1,231,,Floss,
Software Libre en Japón vs Microsoft,software-libre-en-japon-vs-microsoft,2007-05-14,/2007/05/14/software-libre-en-japon-vs-microsoft/,C,1,316,,Floss,
"¿ Por Qué ser lider, responsable, jefe....?",¿-por-que-ser-lider-responsable-jefe,2007-05-16,/2007/05/16/%c2%bf-por-que-ser-lider-responsable-jefe/,B,3,631,6,Empresa; Personas,
Microsoft tiene miedo?????,microsoft-tiene-miedo,2007-05-16,/2007/05/16/microsoft-tiene-miedo/,C,2,310,29,Floss,
Datos sobre los Blogs,datos-sobre-los-blogs,2007-05-17,/2007/05/17/datos-sobre-los-blogs/,C,1,55,,Empresa; Tecnología,
Crítica y Enfado,critica-y-enfado,2007-05-18,/2007/05/18/critica-y-enfado/,C,1,168,,Citas; Personas,
La gente no quiere pagar por.....,la-gente-no-quiere-pagar-por,2007-05-18,/2007/05/18/la-gente-no-quiere-pagar-por/,C,2,362,6,Floss,
"La publicidad on-line, Google y Youtube",la-publicidad-on-line-google-y-youtube,2007-05-19,/2007/05/19/la-publicidad-on-line-google-y-youtube/,C,1,272,2,Empresa; Tecnología,
¿Por qué marcharse?,¿por-que-marcharse,2007-05-21,/2007/05/21/%c2%bfpor-que-marcharse/,C,2,159,3,Empresa; Personas,
Linux VS Windows gracias a Menéame,linux-vs-windows-gracias-a-meneame,2007-05-22,/2007/05/22/linux-vs-windows-gracias-a-meneame/,C,,186,,Floss; Tecnología,
Wii vs Playstation 3,wii-vs-playstation-3,2007-05-25,/2007/05/25/wii-vs-playstation-3/,C,,16,1,Tecnología,
La SGAE y su canon,la-sgae-y-su-canon,2007-05-25,/2007/05/25/la-sgae-y-su-canon/,B,3,672,13,Floss; Tecnología,
Vista y Explorer,vista-y-explorer,2007-05-28,/2007/05/28/vista-y-explorer/,C,1,137,,Tecnología,
Linux kernel management style,linux-kernel-management-style,2007-05-28,/2007/05/28/linux-kernel-management-style/,B,3,2465,2,Floss; Tecnología,
Ken Blanchard - Liderazgo- Cita,ken-blanchard-liderazgo-cita,2007-05-28,/2007/05/28/ken-blanchard-liderazgo-cita/,C,1,85,2,Citas; Personas,
¿Qué es la misión de una empresa?,¿que-es-la-mision-de-una-empresa,2007-05-31,/2007/05/31/%c2%bfque-es-la-mision-de-una-empresa/,B,3,993,15,Empresa,
Se está acabando el canon??,se-esta-acabando-el-canon,2007-06-03,/2007/06/03/se-esta-acabando-el-canon/,C,1,159,,Tecnología,
¿Por qué preguntar?,171,2007-06-05,/2007/06/05/171/,C,1,233,,Empresa; Personas,
Por fin irlanda...,por-fin-irlanda,2007-06-05,/2007/06/05/por-fin-irlanda/,C,1,143,2,Empresa,
Si no trabajas.....,si-no-trabajas,2007-06-05,/2007/06/05/si-no-trabajas/,C,,15,,Citas,
Esa droga llamada Internet,esa-droga-llamada-internet,2007-06-07,/2007/06/07/esa-droga-llamada-internet/,C,2,267,5,Citas,
Internet es real.,internet-es-real,2007-06-07,/2007/06/07/internet-es-real/,C,2,31,,Citas,
"Galway, bonita ciudad.",galway-bonita-ciudad,2007-06-09,/2007/06/09/galway-bonita-ciudad/,C,2,996,1,Citas,
Por fin para Limerick,por-fin-para-limerick,2007-06-09,/2007/06/09/por-fin-para-limerick/,C,1,177,,Floss; Viajes,
El modelo de negocio de Apple,el-modelo-de-negocio-de-apple,2007-06-09,/2007/06/09/el-modelo-de-negocio-de-apple/,C,1,39,1,Tecnología,
Mirar el futuro,mirar-el-futuro,2007-06-09,/2007/06/09/mirar-el-futuro/,C,1,91,,Empresa; Tecnología,
La innovación y los artistas.,la-innovacion-y-los-artistas,2007-06-09,/2007/06/09/la-innovacion-y-los-artistas/,C,1,224,1,Tecnología,
Los programadores son un manojo de quejicas,los-programadores-son-un-manojo-de-quejicas,2007-06-09,/2007/06/09/los-programadores-son-un-manojo-de-quejicas/,C,1,161,,Empresa; Tecnología,
El futuro,el-futuro,2007-06-09,/2007/06/09/el-futuro/,C,,11,2,Citas,
OSS en Universidad de Limerick,oss-en-universidad-de-limerick,2007-06-11,/2007/06/11/oss-en-universidad-de-limerick/,C,1,217,,Floss,
OSS/07  - ¿A quién protege el Copyright?,oss07-¿a-quien-protege-el-copyright,2007-06-12,/2007/06/12/oss07-%c2%bfa-quien-protege-el-copyright/,C,2,215,5,Floss,
OSS/07 - ¿Por qué las Wikis en las empresas?,oss07-¿por-que-las-wikis-en-las-empresas,2007-06-12,/2007/06/12/oss07-%c2%bfpor-que-las-wikis-en-las-empresas/,C,1,148,2,Floss,
OSS/07 . ¿ Se impone el  término FLOSS / OSS dentro del Software Libre?,oss07-¿-se-impone-el-termino-floss-oss-dentro-del-software-libre,2007-06-12,/2007/06/12/oss07-%c2%bf-se-impone-el-termino-floss-oss-dentro-del-software-libre/,C,1,225,1,Floss,
Los RRHH en Telefónica.,los-rrhh-en-telefonica,2007-06-19,/2007/06/19/los-rrhh-en-telefonica/,C,2,573,,Personas,
Fórmula de Wilson,formula-de-wilson,2007-06-19,/2007/06/19/formula-de-wilson/,C,2,809,,Empresa,
"Ejemplos de Input, Output y actividades.",ejemplos-de-input-output-y-actividades,2007-06-23,/2007/06/23/ejemplos-de-input-output-y-actividades/,B,4,937,12,Empresa,
Las tiendas Outlet.,las-tiendas-outlet,2007-06-23,/2007/06/23/las-tiendas-outlet/,C,1,462,1,Tecnología,
Segmentación o posicionamiento ??,segmentacion-o-posicionamiento,2007-06-23,/2007/06/23/segmentacion-o-posicionamiento/,C,2,197,4,Empresa,
¿Cómo elegir una plataforma libre para hacer una Web?,¿como-elegir-una-plataforma-libre-para-hacer-una-web,2007-06-26,/2007/06/26/%c2%bfcomo-elegir-una-plataforma-libre-para-hacer-una-web/,B,3,855,4,Floss; Tecnología,
La empresa tecnológica moderna,la-empresa-tecnologica-moderna,2007-06-28,/2007/06/28/la-empresa-tecnologica-moderna/,C,1,247,2,Personas,
Sociedad industrial vs Sociedad Conocimiento.,sociedad-industrial-vs-sociedad-conocimiento,2007-06-29,/2007/06/29/sociedad-industrial-vs-sociedad-conocimiento/,C,1,180,,Empresa; Personas,
¿Por qué cada país es diferente?,¿por-que-cada-pais-es-diferente,2007-07-03,/2007/07/03/%c2%bfpor-que-cada-pais-es-diferente/,C,1,155,1,Personas,
¿Fondos propios o fondos ajenos?,¿fondos-propios-o-fondos-ajenos,2007-07-03,/2007/07/03/%c2%bffondos-propios-o-fondos-ajenos/,C,1,340,1,Empresa,
¿Qué tipos de crecimiento ha seguido TELEFONICA en los últimos años?,¿que-tipos-de-crecimiento-ha-seguido-telefonica-en-los-ultimos-anos,2007-07-04,/2007/07/04/%c2%bfque-tipos-de-crecimiento-ha-seguido-telefonica-en-los-ultimos-anos/,C,1,301,,Empresa,
Marketing MiX de Telefónica,marketing-mix-de-telefonica,2007-07-05,/2007/07/05/marketing-mix-de-telefonica/,C,2,638,,Empresa,
¿ Por qué la inteligencia Emocional ?,¿-por-que-la-inteligencia-emocional,2007-07-06,/2007/07/06/%c2%bf-por-que-la-inteligencia-emocional/,C,1,129,2,Empresa; Personas; Tecnología,
¿ Por qué la motivación ?,¿-por-que-la-motivacion,2007-07-07,/2007/07/07/%c2%bf-por-que-la-motivacion/,C,1,122,,Personas,
Las noticias en la página principal de Velneo,las-noticias-en-la-pagina-principal,2007-07-08,/2007/07/08/las-noticias-en-la-pagina-principal/,C,1,244,,Velneo,
Conocerse a uno mismo.,conocerse-a-uno-mismo,2007-07-09,/2007/07/09/conocerse-a-uno-mismo/,C,2,126,3,Personas,
Saber relacionarse,saber-relacionarse,2007-07-10,/2007/07/10/saber-relacionarse/,C,1,180,2,Tecnología,
¿Por qué  la comunicación?,el-poder-de-la-comunicacion,2007-07-12,/2007/07/12/el-poder-de-la-comunicacion/,C,2,987,,Personas,
¿Que es un blog?,¿que-es-un-blog,2007-07-14,/2007/07/14/%c2%bfque-es-un-blog/,C,1,446,,Tecnología,
Elementos del Blog,elementos-del-blog,2007-07-15,/2007/07/15/elementos-del-blog/,C,1,436,1,Empresa; Tecnología,
Cursos en la UOC,cursos-en-la-uoc,2007-07-15,/2007/07/15/cursos-en-la-uoc/,C,2,98,7,Tecnología,
Características de un blog.,caracteristicas-de-un-blog,2007-07-16,/2007/07/16/caracteristicas-de-un-blog/,B,3,859,15,Empresa; Tecnología,
El poder del cambio.,el-poder-del-cambio,2007-07-19,/2007/07/19/el-poder-del-cambio/,C,1,222,1,Empresa; Personas,
Cork y la UCC,cork-y-la-ucc,2007-07-21,/2007/07/21/cork-y-la-ucc/,C,1,256,1,Viajes,
Libertad y Justicia,libertad-y-justicia,2007-07-22,/2007/07/22/libertad-y-justicia/,C,1,265,1,Floss,
Presentaciones On-Line,presentaciones-on-line,2007-07-23,/2007/07/23/presentaciones-on-line/,C,1,160,4,Tecnología,
Limerick VS Cork,limerick-vs-cork,2007-07-23,/2007/07/23/limerick-vs-cork/,C,1,362,3,Tecnología,
Viaje a Lyon,viaje-a-lyon,2007-07-31,/2007/07/31/viaje-a-lyon/,C,1,155,2,Viajes,
Second Life,second-life,2007-07-31,/2007/07/31/second-life/,B,3,566,5,Tecnología,
Blog cerrado por vacaciones,blog-cerrado-por-vacaciones,2007-08-08,/2007/08/08/blog-cerrado-por-vacaciones/,C,1,,,Tecnología,
Historia de Velneo V7,historia-de-v7,2007-08-20,/2007/08/20/historia-de-v7/,B,4,3152,17,Velneo,
Tipología de Blogs,tipologia-de-blogs,2007-08-24,/2007/08/24/tipologia-de-blogs/,C,2,973,2,Tecnología,
¿ Qué es la moda ?,¿-que-es-la-moda,2007-08-26,/2007/08/26/%c2%bf-que-es-la-moda/,C,1,376,,Empresa,
¿ Cuál es la historía de los Blogs ?,¿-cual-es-la-historia-de-los-blogs,2007-08-29,/2007/08/29/%c2%bf-cual-es-la-historia-de-los-blogs/,C,2,911,2,Tecnología,
La web 2.0 y la comunicación en las empresas,la-web-20-y-la-comunicacion-en-las-empresas,2007-08-31,/2007/08/31/la-web-20-y-la-comunicacion-en-las-empresas/,C,2,516,1,Empresa,
Microsoft y el estandard,microsoft-y-el-estandard,2007-09-04,/2007/09/04/microsoft-y-el-estandard/,C,1,213,1,Empresa,
Lo que encontré en el pasado.,lo-que-encontre-en-el-pasado,2007-09-10,/2007/09/10/lo-que-encontre-en-el-pasado/,C,1,215,,Empresa,
Vigo-Madrid-Shannon-Limerick-Dublín.,vigo-madrid-shannon-limerick-dublin,2007-09-11,/2007/09/11/vigo-madrid-shannon-limerick-dublin/,C,2,271,3,Viajes,
Dublín-Shannon-Limerick,dublin-shannon-limerick,2007-09-12,/2007/09/12/dublin-shannon-limerick/,C,2,257,6,Viajes,
Velneo+Comunidad = El Oracle de la Pyme,velneocomunidad-el-oracle-de-la-pyme,2007-09-14,/2007/09/14/velneocomunidad-el-oracle-de-la-pyme/,B,3,598,11,Velneo,
La lucha,la-lucha,2007-09-15,/2007/09/15/la-lucha/,C,1,41,,Citas,
Google compra Postini,google-compra-postini,2007-09-15,/2007/09/15/google-compra-postini/,C,1,121,,Empresa,
¿Cuáles son los problemas de la programación?,¿cuales-son-los-problemas-de-la-programacion,2007-09-17,/2007/09/17/%c2%bfcuales-son-los-problemas-de-la-programacion/,B,4,1014,14,Velneo,
¿Qué es la sindicación de contenidos?,¿que-es-la-sindicacion-de-contenidos,2007-09-20,/2007/09/20/%c2%bfque-es-la-sindicacion-de-contenidos/,C,1,458,,Tecnología,
El arte de escribir: 10 consejos,el-arte-de-escribir-10-consejos,2007-09-20,/2007/09/20/el-arte-de-escribir-10-consejos/,C,2,104,6,Tecnología,
¿Cuándo se impondrá el Open Source?,¿cuando-se-impondra-el-open-source,2007-09-23,/2007/09/23/%c2%bfcuando-se-impondra-el-open-source/,C,1,372,2,Floss,
¿Cuáles son las mejores páginas de RRHH?,¿cuales-son-las-mejores-paginas-de-rrhh,2007-09-24,/2007/09/24/%c2%bfcuales-son-las-mejores-paginas-de-rrhh/,C,2,448,9,Personas,
¿Cuál es la evolución de un usuario con un nuevo Software?,¿cual-es-la-evolucion-de-un-usuario-con-un-nuevo-software,2007-09-24,/2007/09/24/%c2%bfcual-es-la-evolucion-de-un-usuario-con-un-nuevo-software/,C,2,,3,Citas,
"¿Qué es un Pasivo, Balance Situación y P&amp;G?",¿que-es-un-pasivo,2007-09-26,/2007/09/26/%c2%bfque-es-un-pasivo/,C,1,210,2,Empresa,
Términos anglosajones de moda sobre RRHH,terminos-anglosajones-de-moda-sobre-rrhh,2007-09-29,/2007/09/29/terminos-anglosajones-de-moda-sobre-rrhh/,A,5,2403,12,Personas,
¿Qué pasa en Irlanda?,¿que-pasa-en-irlanda,2007-10-01,/2007/10/01/%c2%bfque-pasa-en-irlanda/,B,3,566,10,Empresa,
Open Source VS Software Propietario,open-source-vs-software-propietario,2007-10-02,/2007/10/02/open-source-vs-software-propietario/,C,2,369,6,Floss,
Publicidad+Open Source= Licencias,publicidadopen-source-licencias,2007-10-06,/2007/10/06/publicidadopen-source-licencias/,C,2,478,4,Floss,
El 40% de la publicidad On-Line es de Google,el-40-de-la-publicidad-on-line-es-de-google,2007-10-07,/2007/10/07/el-40-de-la-publicidad-on-line-es-de-google/,C,2,92,4,Tecnología,
Apple Vs Dell,apple-vs-dell,2007-10-08,/2007/10/08/apple-vs-dell/,C,2,122,3,Empresa,
El futuro de micro-blog,el-futuro-de-micro-blog,2007-10-09,/2007/10/10/el-futuro-de-micro-blog/,C,2,231,3,Empresa,
Mercados Emergentes vs Segmentos Emergentes,mercados-emergente-vs-segmentos-emergentes,2007-10-10,/2007/10/10/mercados-emergente-vs-segmentos-emergentes/,C,2,236,3,Empresa,
¿Qué pasa con las Wikis?,¿que-pasa-con-las-wikis,2007-10-10,/2007/10/10/%c2%bfque-pasa-con-las-wikis/,C,1,247,2,Tecnología,
La travesía,la-travesia,2007-10-13,/2007/10/13/la-travesia/,C,2,140,3,Citas; Personas,
¿Cuáles son las diferentes orientaciones hacia el mercado de las empresas?,¿cuales-son-las-diferentes-orientaciones-hacia-el-mercado-de-las-empresas,2007-10-14,/2007/10/14/%c2%bfcuales-son-las-diferentes-orientaciones-hacia-el-mercado-de-las-empresas/,C,2,332,3,Empresa,
¿Qué es un DAFO?,¿que-es-un-dafo,2007-10-14,/2007/10/14/%c2%bfque-es-un-dafo/,C,1,66,,Tecnología,
El mercado y el estado,el-mercado-y-el-estado,2007-10-15,/2007/10/15/el-mercado-y-el-estado/,C,1,418,1,Empresa,
MYSQL conference.,mysql-conference,2007-10-17,/2007/10/17/mysql-conference/,B,4,1068,6,Velneo,
Velneo vs Oracle vs SQL,velneo-vs-oracle-vs-sql,2007-10-23,/2007/10/23/velneo-vs-oracle-vs-sql/,C,2,434,7,Velneo,
¿Cómo elegir una plataforma libre?,¿como-elegir-una-plataforma-libre,2007-10-25,/2007/10/25/%c2%bfcomo-elegir-una-plataforma-libre/,C,1,217,,Tecnología,
Conceptos Web 2.0,conceptos-web-20,2007-10-27,/2007/10/27/conceptos-web-20/,C,1,92,,Tecnología,
Orientaciones culturales según Harrison(1972),¿cuales-son-las-orientaciones-culturales-segun-harrison1972,2007-10-27,/2007/10/27/%c2%bfcuales-son-las-orientaciones-culturales-segun-harrison1972/,C,1,482,,Personas,
